,rank,player,fg,fga,pct,lg,1-19,20-29,30-39,40-49,50+,xpt,xpa,g,fpts,fpts/g,rost,Season,pid,pos
43,44,Brayden Narveson (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,26581,k
44,45,Joshua Karty (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2024,26478,k
45,46,Cam Little (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%,2024,26475,k
46,47,Charlie Smyth (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,26444,k
47,48,Cade York (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2024,24549,k
48,49,Steven Weatherford (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9583,k
49,50,Zac Derr (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9634,k
50,51,Ricky Schmit (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9638,k
51,52,Piotr Czech (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9512,k
52,53,Jason Reda (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9273,k
53,54,Garrett Rivas (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9223,k
54,55,Carlos Martinez (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9097,k
55,56,Andrew Wellock (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9019,k
56,57,Parker Douglass (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9499,k
57,58,Mark Hickok (NYG),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9422,k
58,59,MacKenzie Hoambrecker (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9407,k
59,60,Andrew Jacas (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9018,k
60,61,Connor Hughes (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9840,k
61,62,Garrett Lindholm (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,9768,k
62,63,Kai Forbath (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2024,10081,k
63,64,Saverio Rocca (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,11118,k
64,65,Alex Hale (GB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2024,26989,k
